method,line,clearance_time,core_clearance_time,transfer_clearance_time,congestion_exposure_time,moderate_congestion_exposure_time
ACO,L7,458.5,192.5,458.5,5992.0,5992.0
ACO,L2,357.5,151.5,357.5,20942.5,20942.5
ACO,L16,357.0,89.5,357.0,396.5,396.5
ACO,L18,356.5,356.5,267.5,3667.5,3667.5
ImprovedAStar,L7,319.5,166.5,319.5,8134.0,8134.0
ImprovedAStar,L2,350.0,350.0,308.5,16107.0,16107.0
ImprovedAStar,L16,309.0,79.5,309.0,0.0,0.0
ImprovedAStar,L18,308.0,308.0,267.5,1595.0,1595.0
AdaptiveSingleNextHop,L7,319.5,139.0,319.5,5093.0,5093.0
AdaptiveSingleNextHop,L2,314.5,132.0,314.5,16735.5,16735.5
AdaptiveSingleNextHop,L16,275.5,89.5,275.5,25.0,25.0
AdaptiveSingleNextHop,L18,276.0,276.0,267.5,2812.5,2812.5
