node,hit_count,avg_people,avg_density,first_time,last_time
VN_L18_Exit12_Entrance,708,34.548022598870055,0.7851823317925012,151.5,242.5
Gate_L7_West_Vert,591,89.33502538071066,11.166878172588833,82.5,134.5
Escalator_L2_down1,380,29.43421052631579,14.016290726817042,51.5,82.0
Stair_L18_Exit12,284,1.0,0.29411764705882354,239.5,279.5
VN_2to7_Exit,265,138.65660377358492,4.214486436887079,23.5,44.0
Platform_L7,232,0.0,0.0,246.5,313.5
Transfer_L2_L18_F1_Esc1,207,23.893719806763286,11.598893110079263,2.0,23.0
VN_L18_to_L16_Mid_Platform_End,135,30.11111111111111,1.2546296296296295,135.0,151.0
Stair_L7_1,112,27.1875,5.96217105263158,44.5,53.0
Gate_L2_N_West,68,1.0,0.125,281.0,309.5
Transfer_L2_L16_Esc1,27,37.25925925925926,18.62962962962963,0.0,1.5
VN_L7toL2_Hall_Arrival,8,1.0,0.014285714285714285,250.5,286.5
