Method,Exit_Name,Profile_Line,Evacuated_People
ACO,L7_8/9,L7,18.0
ACO,L7_7,L2,217.0
ACO,L7_7,L7,313.0
ACO,L2_2,L2,124.0
ACO,L2_2,L7,169.0
ACO,L2_6,L2,55.0
ACO,L2_6,L16,21.0
ACO,L2_4,L2,198.0
ACO,L2_3,L2,209.0
ACO,L16_10,L16,43.0
ACO,L16_10,L18,188.0
ACO,L16_11,L2,152.0
ACO,L16_11,L16,14.0
ACO,L18_12,L2,157.0
ACO,L18_12,L16,6.0
ACO,L18_12,L18,171.0
ACO,L18_17,L18,132.0
ImprovedAStar,L7_8/9,L2,49.0
ImprovedAStar,L7_8/9,L7,64.0
ImprovedAStar,L7_7,L2,168.0
ImprovedAStar,L7_7,L7,267.0
ImprovedAStar,L2_2,L2,196.0
ImprovedAStar,L2_2,L7,169.0
ImprovedAStar,L2_6,L2,55.0
ImprovedAStar,L2_6,L16,21.0
ImprovedAStar,L2_4,L2,147.0
ImprovedAStar,L2_3,L2,186.0
ImprovedAStar,L16_10,L16,43.0
ImprovedAStar,L16_10,L18,188.0
ImprovedAStar,L16_11,L2,154.0
ImprovedAStar,L16_11,L16,14.0
ImprovedAStar,L18_12,L2,157.0
ImprovedAStar,L18_12,L16,6.0
ImprovedAStar,L18_12,L18,171.0
ImprovedAStar,L18_17,L18,132.0
AdaptiveSingleNextHop,L7_8/9,L2,108.0
AdaptiveSingleNextHop,L7_8/9,L7,102.0
AdaptiveSingleNextHop,L7_7,L2,109.0
AdaptiveSingleNextHop,L7_7,L7,229.0
AdaptiveSingleNextHop,L2_2,L2,124.0
AdaptiveSingleNextHop,L2_2,L7,169.0
AdaptiveSingleNextHop,L2_6,L2,55.0
AdaptiveSingleNextHop,L2_6,L16,21.0
AdaptiveSingleNextHop,L2_4,L2,221.0
AdaptiveSingleNextHop,L2_3,L2,186.0
AdaptiveSingleNextHop,L16_10,L16,43.0
AdaptiveSingleNextHop,L16_10,L18,188.0
AdaptiveSingleNextHop,L16_11,L2,152.0
AdaptiveSingleNextHop,L16_11,L16,14.0
AdaptiveSingleNextHop,L18_12,L2,157.0
AdaptiveSingleNextHop,L18_12,L16,6.0
AdaptiveSingleNextHop,L18_12,L18,231.0
AdaptiveSingleNextHop,L18_17,L18,72.0
