method_label,exit_name,people,share
ACO,Exit_L16_10,0.0,0.0
ACO,Exit_L16_11,0.0,0.0
ACO,Exit_L18_12,0.0,0.0
ACO,Exit_L18_13,0.0,0.0
ACO,Exit_L18_17,0.0,0.0
ACO,Exit_L2_2,0.0,0.0
ACO,Exit_L2_3,0.0,0.0
ACO,Exit_L2_4,0.0,0.0
ACO,Exit_L2_6,0.0,0.0
ACO,Exit_L7_7,0.0,0.0
ACO,Exit_L7_8/9,0.0,0.0
ACO,Exit_Maglev_18,0.0,0.0
ACO,Exit_Maglev_19,0.0,0.0
ACO,Exit_Maglev_20,0.0,0.0
ACO,Exit_Maglev_21,0.0,0.0
PaperImprovedAStar,Exit_L16_10,0.0,0.0
PaperImprovedAStar,Exit_L16_11,0.0,0.0
PaperImprovedAStar,Exit_L18_12,0.0,0.0
PaperImprovedAStar,Exit_L18_13,0.0,0.0
PaperImprovedAStar,Exit_L18_17,0.0,0.0
PaperImprovedAStar,Exit_L2_2,0.0,0.0
PaperImprovedAStar,Exit_L2_3,0.0,0.0
PaperImprovedAStar,Exit_L2_4,0.0,0.0
PaperImprovedAStar,Exit_L2_6,0.0,0.0
PaperImprovedAStar,Exit_L7_7,0.0,0.0
PaperImprovedAStar,Exit_L7_8/9,0.0,0.0
PaperImprovedAStar,Exit_Maglev_18,0.0,0.0
PaperImprovedAStar,Exit_Maglev_19,0.0,0.0
PaperImprovedAStar,Exit_Maglev_20,0.0,0.0
PaperImprovedAStar,Exit_Maglev_21,0.0,0.0
OurSinglePath,Exit_L16_10,0.0,0.0
OurSinglePath,Exit_L16_11,0.0,0.0
OurSinglePath,Exit_L18_12,0.0,0.0
OurSinglePath,Exit_L18_13,0.0,0.0
OurSinglePath,Exit_L18_17,0.0,0.0
OurSinglePath,Exit_L2_2,0.0,0.0
OurSinglePath,Exit_L2_3,0.0,0.0
OurSinglePath,Exit_L2_4,0.0,0.0
OurSinglePath,Exit_L2_6,0.0,0.0
OurSinglePath,Exit_L7_7,0.0,0.0
OurSinglePath,Exit_L7_8/9,0.0,0.0
OurSinglePath,Exit_Maglev_18,0.0,0.0
OurSinglePath,Exit_Maglev_19,0.0,0.0
OurSinglePath,Exit_Maglev_20,0.0,0.0
OurSinglePath,Exit_Maglev_21,0.0,0.0
