method_label,exit_name,people,share
ACO,Exit_L16_10,224.0,0.10242341106538637
ACO,Exit_L16_11,57.0,0.02606310013717421
ACO,Exit_L18_12,507.0,0.23182441700960219
ACO,Exit_L18_13,0.0,0.0
ACO,Exit_L18_17,132.0,0.06035665294924554
ACO,Exit_L2_2,246.0,0.11248285322359397
ACO,Exit_L2_3,159.0,0.07270233196159122
ACO,Exit_L2_4,234.0,0.10699588477366255
ACO,Exit_L2_6,80.0,0.03657978966620942
ACO,Exit_L7_7,378.0,0.1728395061728395
ACO,Exit_L7_8/9,170.0,0.07773205304069501
ACO,Exit_Maglev_18,0.0,0.0
ACO,Exit_Maglev_19,0.0,0.0
ACO,Exit_Maglev_20,0.0,0.0
ACO,Exit_Maglev_21,0.0,0.0
PaperImprovedAStar,Exit_L16_10,227.0,0.10379515317786922
PaperImprovedAStar,Exit_L16_11,196.0,0.08962048468221308
PaperImprovedAStar,Exit_L18_12,334.0,0.15272062185642432
PaperImprovedAStar,Exit_L18_13,0.0,0.0
PaperImprovedAStar,Exit_L18_17,132.0,0.06035665294924554
PaperImprovedAStar,Exit_L2_2,376.0,0.17192501143118427
PaperImprovedAStar,Exit_L2_3,99.0,0.04526748971193416
PaperImprovedAStar,Exit_L2_4,199.0,0.09099222679469593
PaperImprovedAStar,Exit_L2_6,76.0,0.03475080018289895
PaperImprovedAStar,Exit_L7_7,119.0,0.054412437128486514
PaperImprovedAStar,Exit_L7_8/9,429.0,0.19615912208504802
PaperImprovedAStar,Exit_Maglev_18,0.0,0.0
PaperImprovedAStar,Exit_Maglev_19,0.0,0.0
PaperImprovedAStar,Exit_Maglev_20,0.0,0.0
PaperImprovedAStar,Exit_Maglev_21,0.0,0.0
OurSinglePath,Exit_L16_10,231.0,0.1056241426611797
OurSinglePath,Exit_L16_11,166.0,0.07590306355738455
OurSinglePath,Exit_L18_12,315.0,0.1440329218106996
OurSinglePath,Exit_L18_13,0.0,0.0
OurSinglePath,Exit_L18_17,151.0,0.06904435299497028
OurSinglePath,Exit_L2_2,293.0,0.133973479652492
OurSinglePath,Exit_L2_3,209.0,0.09556470050297211
OurSinglePath,Exit_L2_4,198.0,0.09053497942386832
OurSinglePath,Exit_L2_6,76.0,0.03475080018289895
OurSinglePath,Exit_L7_7,437.0,0.19981710105166894
OurSinglePath,Exit_L7_8/9,111.0,0.05075445816186557
OurSinglePath,Exit_Maglev_18,0.0,0.0
OurSinglePath,Exit_Maglev_19,0.0,0.0
OurSinglePath,Exit_Maglev_20,0.0,0.0
OurSinglePath,Exit_Maglev_21,0.0,0.0
