method_label,source_group,line,source_type,configured_people,evacuated_people,exit_name,people,share_within_group
ACO,L16_platform,L16,platform_waiting,42.0,42.0,Exit_L16_10,33.0,0.7857142857142857
ACO,L16_platform,L16,platform_waiting,42.0,42.0,Exit_L16_11,9.0,0.21428571428571427
ACO,L16_hall,L16,hall_people,15.0,15.0,Exit_L16_10,10.0,0.6666666666666666
ACO,L16_hall,L16,hall_people,15.0,15.0,Exit_L16_11,5.0,0.3333333333333333
ACO,L16_transfer,L16,transfer_people,27.0,27.0,Exit_L16_10,9.0,0.3333333333333333
ACO,L16_transfer,L16,transfer_people,27.0,27.0,Exit_L16_11,1.0,0.037037037037037035
ACO,L16_transfer,L16,transfer_people,27.0,27.0,Exit_L18_12,6.0,0.2222222222222222
ACO,L16_transfer,L16,transfer_people,27.0,27.0,Exit_L18_17,1.0,0.037037037037037035
ACO,L16_transfer,L16,transfer_people,27.0,27.0,Exit_L2_6,10.0,0.37037037037037035
ACO,L18_platform,L18,platform_waiting,178.0,178.0,Exit_L16_10,2.0,0.011235955056179775
ACO,L18_platform,L18,platform_waiting,178.0,178.0,Exit_L18_12,126.0,0.7078651685393258
ACO,L18_platform,L18,platform_waiting,178.0,178.0,Exit_L18_17,50.0,0.2808988764044944
ACO,L18_hall,L18,hall_people,125.0,125.0,Exit_L18_12,53.0,0.424
ACO,L18_hall,L18,hall_people,125.0,125.0,Exit_L18_17,72.0,0.576
ACO,L18_transfer,L18,transfer_people,188.0,188.0,Exit_L16_10,67.0,0.35638297872340424
ACO,L18_transfer,L18,transfer_people,188.0,188.0,Exit_L16_11,11.0,0.05851063829787234
ACO,L18_transfer,L18,transfer_people,188.0,188.0,Exit_L18_12,106.0,0.5638297872340425
ACO,L18_transfer,L18,transfer_people,188.0,188.0,Exit_L18_17,4.0,0.02127659574468085
ACO,L2_platform,L2,platform_waiting,236.0,235.0,Exit_L16_10,5.0,0.02127659574468085
ACO,L2_platform,L2,platform_waiting,236.0,235.0,Exit_L16_11,3.0,0.01276595744680851
ACO,L2_platform,L2,platform_waiting,236.0,235.0,Exit_L18_12,22.0,0.09361702127659574
ACO,L2_platform,L2,platform_waiting,236.0,235.0,Exit_L2_2,78.0,0.33191489361702126
ACO,L2_platform,L2,platform_waiting,236.0,235.0,Exit_L2_3,54.0,0.2297872340425532
ACO,L2_platform,L2,platform_waiting,236.0,235.0,Exit_L2_4,73.0,0.31063829787234043
ACO,L2_hall,L2,hall_people,350.0,350.0,Exit_L2_2,74.0,0.21142857142857144
ACO,L2_hall,L2,hall_people,350.0,350.0,Exit_L2_3,92.0,0.26285714285714284
ACO,L2_hall,L2,hall_people,350.0,350.0,Exit_L2_4,129.0,0.36857142857142855
ACO,L2_hall,L2,hall_people,350.0,350.0,Exit_L2_6,55.0,0.15714285714285714
ACO,L2_transfer,L2,transfer_people,526.0,523.0,Exit_L16_10,18.0,0.03441682600382409
ACO,L2_transfer,L2,transfer_people,526.0,523.0,Exit_L16_11,24.0,0.045889101338432124
ACO,L2_transfer,L2,transfer_people,526.0,523.0,Exit_L18_12,134.0,0.25621414913957935
ACO,L2_transfer,L2,transfer_people,526.0,523.0,Exit_L18_17,14.0,0.02676864244741874
ACO,L2_transfer,L2,transfer_people,526.0,523.0,Exit_L2_2,109.0,0.2084130019120459
ACO,L2_transfer,L2,transfer_people,526.0,523.0,Exit_L2_3,11.0,0.021032504780114723
ACO,L2_transfer,L2,transfer_people,526.0,523.0,Exit_L2_4,10.0,0.019120458891013385
ACO,L2_transfer,L2,transfer_people,526.0,523.0,Exit_L2_6,89.0,0.1701720841300191
ACO,L2_transfer,L2,transfer_people,526.0,523.0,Exit_L7_7,68.0,0.13001912045889102
ACO,L2_transfer,L2,transfer_people,526.0,523.0,Exit_L7_8/9,46.0,0.08795411089866156
ACO,L7_platform,L7,platform_waiting,219.0,219.0,Exit_L2_2,1.0,0.0045662100456621
ACO,L7_platform,L7,platform_waiting,219.0,219.0,Exit_L7_7,133.0,0.6073059360730594
ACO,L7_platform,L7,platform_waiting,219.0,219.0,Exit_L7_8/9,85.0,0.3881278538812785
ACO,L7_hall,L7,hall_people,112.0,112.0,Exit_L7_7,90.0,0.8035714285714286
ACO,L7_hall,L7,hall_people,112.0,112.0,Exit_L7_8/9,22.0,0.19642857142857142
ACO,L7_transfer,L7,transfer_people,169.0,164.0,Exit_L16_10,4.0,0.024390243902439025
ACO,L7_transfer,L7,transfer_people,169.0,164.0,Exit_L16_11,2.0,0.012195121951219513
ACO,L7_transfer,L7,transfer_people,169.0,164.0,Exit_L18_12,9.0,0.054878048780487805
ACO,L7_transfer,L7,transfer_people,169.0,164.0,Exit_L2_2,64.0,0.3902439024390244
ACO,L7_transfer,L7,transfer_people,169.0,164.0,Exit_L2_3,5.0,0.03048780487804878
ACO,L7_transfer,L7,transfer_people,169.0,164.0,Exit_L2_4,9.0,0.054878048780487805
ACO,L7_transfer,L7,transfer_people,169.0,164.0,Exit_L2_6,1.0,0.006097560975609756
ACO,L7_transfer,L7,transfer_people,169.0,164.0,Exit_L7_7,52.0,0.3170731707317073
ACO,L7_transfer,L7,transfer_people,169.0,164.0,Exit_L7_8/9,18.0,0.10975609756097561
PaperImprovedAStar,L16_platform,L16,platform_waiting,42.0,42.0,Exit_L16_10,29.0,0.6904761904761905
PaperImprovedAStar,L16_platform,L16,platform_waiting,42.0,42.0,Exit_L16_11,13.0,0.30952380952380953
PaperImprovedAStar,L16_hall,L16,hall_people,15.0,15.0,Exit_L16_10,10.0,0.6666666666666666
PaperImprovedAStar,L16_hall,L16,hall_people,15.0,15.0,Exit_L16_11,5.0,0.3333333333333333
PaperImprovedAStar,L16_transfer,L16,transfer_people,27.0,27.0,Exit_L16_10,10.0,0.37037037037037035
PaperImprovedAStar,L16_transfer,L16,transfer_people,27.0,27.0,Exit_L16_11,4.0,0.14814814814814814
PaperImprovedAStar,L16_transfer,L16,transfer_people,27.0,27.0,Exit_L18_12,3.0,0.1111111111111111
PaperImprovedAStar,L16_transfer,L16,transfer_people,27.0,27.0,Exit_L2_4,10.0,0.37037037037037035
PaperImprovedAStar,L18_platform,L18,platform_waiting,178.0,178.0,Exit_L18_12,118.0,0.6629213483146067
PaperImprovedAStar,L18_platform,L18,platform_waiting,178.0,178.0,Exit_L18_17,60.0,0.33707865168539325
PaperImprovedAStar,L18_hall,L18,hall_people,125.0,125.0,Exit_L18_12,53.0,0.424
PaperImprovedAStar,L18_hall,L18,hall_people,125.0,125.0,Exit_L18_17,72.0,0.576
PaperImprovedAStar,L18_transfer,L18,transfer_people,188.0,188.0,Exit_L16_10,78.0,0.4148936170212766
PaperImprovedAStar,L18_transfer,L18,transfer_people,188.0,188.0,Exit_L18_12,110.0,0.5851063829787234
PaperImprovedAStar,L2_platform,L2,platform_waiting,236.0,236.0,Exit_L16_11,36.0,0.15254237288135594
PaperImprovedAStar,L2_platform,L2,platform_waiting,236.0,236.0,Exit_L2_2,117.0,0.4957627118644068
PaperImprovedAStar,L2_platform,L2,platform_waiting,236.0,236.0,Exit_L2_3,15.0,0.0635593220338983
PaperImprovedAStar,L2_platform,L2,platform_waiting,236.0,236.0,Exit_L2_4,68.0,0.288135593220339
PaperImprovedAStar,L2_hall,L2,hall_people,350.0,350.0,Exit_L2_2,74.0,0.21142857142857144
PaperImprovedAStar,L2_hall,L2,hall_people,350.0,350.0,Exit_L2_3,92.0,0.26285714285714284
PaperImprovedAStar,L2_hall,L2,hall_people,350.0,350.0,Exit_L2_4,129.0,0.36857142857142855
PaperImprovedAStar,L2_hall,L2,hall_people,350.0,350.0,Exit_L2_6,55.0,0.15714285714285714
PaperImprovedAStar,L2_transfer,L2,transfer_people,526.0,526.0,Exit_L16_11,93.0,0.17680608365019013
PaperImprovedAStar,L2_transfer,L2,transfer_people,526.0,526.0,Exit_L18_12,83.0,0.15779467680608364
PaperImprovedAStar,L2_transfer,L2,transfer_people,526.0,526.0,Exit_L2_2,161.0,0.3060836501901141
PaperImprovedAStar,L2_transfer,L2,transfer_people,526.0,526.0,Exit_L2_4,17.0,0.03231939163498099
PaperImprovedAStar,L2_transfer,L2,transfer_people,526.0,526.0,Exit_L2_6,58.0,0.11026615969581749
PaperImprovedAStar,L2_transfer,L2,transfer_people,526.0,526.0,Exit_L7_8/9,114.0,0.21673003802281368
PaperImprovedAStar,L7_platform,L7,platform_waiting,219.0,219.0,Exit_L7_7,33.0,0.1506849315068493
PaperImprovedAStar,L7_platform,L7,platform_waiting,219.0,219.0,Exit_L7_8/9,186.0,0.8493150684931506
PaperImprovedAStar,L7_hall,L7,hall_people,112.0,112.0,Exit_L7_7,85.0,0.7589285714285714
PaperImprovedAStar,L7_hall,L7,hall_people,112.0,112.0,Exit_L7_8/9,27.0,0.24107142857142858
PaperImprovedAStar,L7_transfer,L7,transfer_people,169.0,169.0,Exit_L2_2,99.0,0.5857988165680473
PaperImprovedAStar,L7_transfer,L7,transfer_people,169.0,169.0,Exit_L7_8/9,70.0,0.41420118343195267
OurSinglePath,L16_platform,L16,platform_waiting,42.0,42.0,Exit_L16_10,33.0,0.7857142857142857
OurSinglePath,L16_platform,L16,platform_waiting,42.0,42.0,Exit_L16_11,9.0,0.21428571428571427
OurSinglePath,L16_hall,L16,hall_people,15.0,15.0,Exit_L16_10,10.0,0.6666666666666666
OurSinglePath,L16_hall,L16,hall_people,15.0,15.0,Exit_L16_11,5.0,0.3333333333333333
OurSinglePath,L16_transfer,L16,transfer_people,27.0,27.0,Exit_L16_10,10.0,0.37037037037037035
OurSinglePath,L16_transfer,L16,transfer_people,27.0,27.0,Exit_L16_11,4.0,0.14814814814814814
OurSinglePath,L16_transfer,L16,transfer_people,27.0,27.0,Exit_L18_17,3.0,0.1111111111111111
OurSinglePath,L16_transfer,L16,transfer_people,27.0,27.0,Exit_L2_6,10.0,0.37037037037037035
OurSinglePath,L18_platform,L18,platform_waiting,178.0,178.0,Exit_L18_12,162.0,0.9101123595505618
OurSinglePath,L18_platform,L18,platform_waiting,178.0,178.0,Exit_L18_17,16.0,0.0898876404494382
OurSinglePath,L18_hall,L18,hall_people,125.0,125.0,Exit_L18_12,53.0,0.424
OurSinglePath,L18_hall,L18,hall_people,125.0,125.0,Exit_L18_17,72.0,0.576
OurSinglePath,L18_transfer,L18,transfer_people,188.0,188.0,Exit_L16_10,78.0,0.4148936170212766
OurSinglePath,L18_transfer,L18,transfer_people,188.0,188.0,Exit_L18_12,65.0,0.34574468085106386
OurSinglePath,L18_transfer,L18,transfer_people,188.0,188.0,Exit_L18_17,45.0,0.2393617021276596
OurSinglePath,L2_platform,L2,platform_waiting,236.0,236.0,Exit_L16_10,11.0,0.046610169491525424
OurSinglePath,L2_platform,L2,platform_waiting,236.0,236.0,Exit_L16_11,27.0,0.11440677966101695
OurSinglePath,L2_platform,L2,platform_waiting,236.0,236.0,Exit_L2_2,59.0,0.25
OurSinglePath,L2_platform,L2,platform_waiting,236.0,236.0,Exit_L2_3,73.0,0.3093220338983051
OurSinglePath,L2_platform,L2,platform_waiting,236.0,236.0,Exit_L2_4,66.0,0.2796610169491525
OurSinglePath,L2_hall,L2,hall_people,350.0,350.0,Exit_L2_2,74.0,0.21142857142857144
OurSinglePath,L2_hall,L2,hall_people,350.0,350.0,Exit_L2_3,92.0,0.26285714285714284
OurSinglePath,L2_hall,L2,hall_people,350.0,350.0,Exit_L2_4,129.0,0.36857142857142855
OurSinglePath,L2_hall,L2,hall_people,350.0,350.0,Exit_L2_6,55.0,0.15714285714285714
OurSinglePath,L2_transfer,L2,transfer_people,526.0,526.0,Exit_L16_11,80.0,0.1520912547528517
OurSinglePath,L2_transfer,L2,transfer_people,526.0,526.0,Exit_L18_12,9.0,0.017110266159695818
OurSinglePath,L2_transfer,L2,transfer_people,526.0,526.0,Exit_L18_17,74.0,0.14068441064638784
OurSinglePath,L2_transfer,L2,transfer_people,526.0,526.0,Exit_L2_2,161.0,0.3060836501901141
