method_label,rank,node,node_class,pathfinder_usable,queue_seconds,peak_people,peak_density,first_over3_time_s,last_over3_time_s
ACO,1,Transfer_L7-L2_Z,transfer,yes,7083.0,161.0,0.17576419213973798,,
ACO,2,Transfer_L2-L7_Passageway,transfer,yes,1955.0,184.0,0.7965367965367965,,
ACO,3,Gate_L2_S_West,gate,yes,1883.0,129.0,9.214285714285714,5.0,17.0
ACO,4,Gate_L2_N_West,gate,yes,1509.0,74.0,9.25,5.0,17.0
ACO,5,Gate_L2_S_East,gate,yes,1350.0,92.0,9.2,5.0,17.0
ACO,6,Gate_L7_N_Mid,gate,yes,1098.0,24.0,4.0,55.0,77.0
ACO,7,Escalator_L18_Exit12_up1,escalator,no,1012.0,19.0,9.223300970873787,166.0,276.0
ACO,8,Escalator_L18_Exit12_up2,escalator,no,1001.0,21.0,10.194174757281553,55.0,254.0
ACO,9,Gate_L18_E1,gate,yes,898.0,29.0,2.4166666666666665,,
ACO,10,Gate_L2_N_East,gate,yes,892.0,55.0,9.166666666666666,5.0,17.0
PaperImprovedAStar,1,Transfer_L7-L2_Z,transfer,yes,8047.0,161.0,0.17576419213973798,,
PaperImprovedAStar,2,Gate_L7_West_Vert,gate,yes,3460.0,85.0,10.625,5.0,90.0
PaperImprovedAStar,3,Gate_L7_N_West,gate,yes,2796.0,50.0,8.333333333333334,61.0,120.0
PaperImprovedAStar,4,Gate_L2_N_West,gate,yes,2098.0,74.0,9.25,5.0,17.0
PaperImprovedAStar,5,Transfer_L2-L7_Passageway,transfer,yes,1955.0,184.0,0.7965367965367965,,
PaperImprovedAStar,6,Gate_L2_S_West,gate,yes,1890.0,129.0,9.214285714285714,5.0,17.0
PaperImprovedAStar,7,Gate_L18_E1,gate,yes,1320.0,39.0,3.25,,
PaperImprovedAStar,8,Gate_L2_S_East,gate,yes,1294.0,92.0,9.2,5.0,17.0
PaperImprovedAStar,9,Escalator_L2_down1,escalator,yes,876.0,27.0,12.857142857142856,39.0,82.0
PaperImprovedAStar,10,Gate_L7_N_Mid,gate,yes,847.0,18.0,3.0,,
OurSinglePath,1,Transfer_L7-L2_Z,transfer,yes,5176.0,161.0,0.17576419213973798,,
OurSinglePath,2,Gate_L7_West_Vert,gate,yes,3301.0,67.0,8.375,5.0,98.0
OurSinglePath,3,Transfer_L2-L7_Passageway,transfer,yes,1955.0,184.0,0.7965367965367965,,
OurSinglePath,4,Gate_L2_S_West,gate,yes,1856.0,129.0,9.214285714285714,5.0,17.0
OurSinglePath,5,Gate_L18_E1,gate,yes,1736.0,60.0,5.0,63.0,83.0
OurSinglePath,6,Gate_L2_N_West,gate,yes,1368.0,74.0,9.25,5.0,17.0
OurSinglePath,7,Gate_L2_S_East,gate,yes,1352.0,92.0,9.2,5.0,17.0
OurSinglePath,8,Gate_L2_N_East,gate,yes,890.0,55.0,9.166666666666666,5.0,17.0
OurSinglePath,9,Escalator_L18_Exit12_up2,escalator,no,784.0,19.0,9.223300970873787,50.0,149.0
OurSinglePath,10,Escalator_L2_down1,escalator,yes,673.0,26.0,12.38095238095238,42.0,76.0
