method_label,rank,node,node_class,pathfinder_usable,queue_seconds,peak_people,peak_density,first_over3_time_s,last_over3_time_s
ACO,1,Transfer_L7-L2_Z,transfer,yes,2886.5,105.0,0.1146288209606987,,
ACO,2,Transfer_L2-L7_Passageway,transfer,yes,2643.0,217.0,0.9393939393939394,,
ACO,3,Gate_L2_S_West,gate,yes,1810.5,129.0,9.214285714285714,5.0,17.5
ACO,4,Gate_L2_S_East,gate,yes,1288.5,92.0,9.2,5.0,17.5
ACO,5,Gate_L2_N_West,gate,yes,1172.0,74.0,9.25,5.0,17.5
ACO,6,Gate_L7_N_East,gate,yes,995.5,25.0,6.25,5.0,56.5
ACO,7,Escalator_L18_Exit12_up2,escalator,no,956.5,23.0,11.16504854368932,192.0,234.5
ACO,8,Gate_L7_West_Vert,gate,yes,905.0,51.0,6.375,5.0,16.5
ACO,9,Stair_L7_1,stair,yes,843.0,26.0,5.701754385964913,49.5,82.0
ACO,10,Gate_L7_N_Mid,gate,yes,782.0,18.0,3.0,,
PaperImprovedAStar,1,Transfer_L7-L2_Z,transfer,yes,3492.0,105.0,0.1146288209606987,,
PaperImprovedAStar,2,Transfer_L2-L7_Passageway,transfer,yes,2643.0,217.0,0.9393939393939394,,
PaperImprovedAStar,3,Gate_L2_N_West,gate,yes,1888.0,74.0,9.25,5.0,17.5
PaperImprovedAStar,4,Gate_L2_S_West,gate,yes,1792.0,129.0,9.214285714285714,5.0,17.5
PaperImprovedAStar,5,Gate_L7_West_Vert,gate,yes,1570.0,51.0,6.375,5.0,87.0
PaperImprovedAStar,6,Gate_L2_S_East,gate,yes,1258.5,92.0,9.2,5.0,17.5
PaperImprovedAStar,7,Escalator_L18_Exit12_up2,escalator,no,1065.0,23.0,11.16504854368932,50.5,264.5
PaperImprovedAStar,8,Stair_L7_3,stair,yes,905.0,24.0,4.838709677419355,42.0,73.5
PaperImprovedAStar,9,Escalator_L7_up1,escalator,yes,830.0,26.0,13.978494623655914,40.5,90.0
PaperImprovedAStar,10,Gate_L2_N_East,gate,yes,762.0,55.0,9.166666666666666,5.0,17.5
OurSinglePath,1,Transfer_L2-L7_Passageway,transfer,yes,2643.0,217.0,0.9393939393939394,,
OurSinglePath,2,Transfer_L7-L2_Z,transfer,yes,2201.0,105.0,0.1146288209606987,,
OurSinglePath,3,Gate_L2_S_West,gate,yes,1791.5,129.0,9.214285714285714,5.0,17.5
OurSinglePath,4,Escalator_L7_down1,escalator,yes,1600.5,30.0,16.129032258064516,45.0,119.5
OurSinglePath,5,Stair_L7_3,stair,yes,1485.5,33.0,6.653225806451613,22.5,71.0
OurSinglePath,6,Gate_L2_S_East,gate,yes,1313.5,92.0,9.2,5.0,17.5
OurSinglePath,7,Gate_L7_West_Vert,gate,yes,1309.5,51.0,6.375,5.0,18.0
OurSinglePath,8,Escalator_L7_up1,escalator,yes,1269.0,32.0,17.204301075268816,35.0,94.0
OurSinglePath,9,Gate_L2_N_West,gate,yes,1126.5,74.0,9.25,5.0,17.5
OurSinglePath,10,Stair_L7_2,stair,yes,990.0,21.0,5.585106382978724,25.5,68.0
