time,source,line,baseline_label,guided_label,baseline_next,guided_next,baseline_path,guided_path,baseline_base_cost,baseline_gate_queue_penalty,baseline_service_penalty,baseline_source_release_penalty,baseline_downstream_release_penalty,baseline_exit_pressure_penalty,baseline_total_cost,guided_base_cost,guided_gate_queue_penalty,guided_service_penalty,guided_source_release_penalty,guided_downstream_release_penalty,guided_exit_pressure_penalty,guided_total_cost
0.0,Platform_L16_B_C5_Wait,L16,PaperImprovedAStar,OurSinglePath,Stair_L16_4,Escalator_L16_up4,L16_B_C5_Wait -> Stair_L16_4 -> L16_S2 -> L16_10,L16_B_C5_Wait -> Escalator_L16_up4 -> L16_S2 -> L16_10,41.748989228070386,1.728,0.36,0.4926252100840336,0.0,0.4242857142857143,44.75390015244013,41.351398522541714,1.728,0.36,0.7630310850439883,0.0,0.4242857142857143,44.626715321871416
0.0,Platform_L7_C2_Wait,L7,PaperImprovedAStar,OurSinglePath,Escalator_L7_up1,Stair_L7_1,L7_C2_Wait -> Escalator_L7_up1 -> L7_West_Vert -> VN_L7_Corner_2 -> L7_7,L7_C2_Wait -> Stair_L7_1 -> L7_N_West -> VN_L7_Corner_1 -> L7_8/9,36.9157092364374,311.79686399999997,1.08,4.769585253456221,0.0,0.0,354.5621584898936,46.27104813538082,300.23999999999995,3.0,3.533428165007112,0.0,0.0,353.0444763003879
0.0,Platform_L7_C3_Wait,L7,PaperImprovedAStar,OurSinglePath,Stair_L7_1,Stair_L7_2,L7_C3_Wait -> Stair_L7_1 -> L7_West_Vert -> VN_L7_Corner_2 -> L7_7,L7_C3_Wait -> Stair_L7_2 -> L7_N_West -> VN_L7_Corner_1 -> L7_8/9,42.68428351430936,311.79686399999997,1.08,2.7652916073968705,0.0,0.0,358.3264391217062,47.49189696042053,300.23999999999995,3.0,3.35365152386429,0.0,0.0,354.0855484842848
1.0,Platform_L2_Z1_Wait,L2,PaperImprovedAStar,OurSinglePath,Stair_L2_1,Stair_L2_3,L2_Z1_Wait -> Stair_L2_1 -> L2_N_West -> L2_2,L2_Z1_Wait -> Stair_L2_3 -> L2_S_West -> L2_4,36.4259741260325,604.786176,1.08,7.636089924553529,0.0,14.256000000000002,664.184240050586,44.816958095040974,595.5428571428572,0.6171428571428572,7.599061353124958,0.0,14.142857142857144,662.7188765910231
1.0,Platform_L7_C2_Wait,L7,PaperImprovedAStar,OurSinglePath,Escalator_L7_up1,Stair_L7_1,L7_C2_Wait -> Escalator_L7_up1 -> L7_West_Vert -> VN_L7_Corner_2 -> L7_7,L7_C2_Wait -> Stair_L7_1 -> L7_N_West -> VN_L7_Corner_1 -> L7_8/9,36.9157092364374,288.90086399999996,1.08,4.562211981566819,0.0,0.0,331.45878521800415,46.27104813538082,269.28,3.0,3.379800853485064,0.0,0.0,321.9308489888659
1.0,Platform_L7_C3_Wait,L7,PaperImprovedAStar,OurSinglePath,Stair_L7_1,Stair_L7_2,L7_C3_Wait -> Stair_L7_1 -> L7_West_Vert -> VN_L7_Corner_2 -> L7_7,L7_C3_Wait -> Stair_L7_2 -> L7_N_West -> VN_L7_Corner_1 -> L7_8/9,42.68428351430936,288.90086399999996,1.08,2.6884779516358464,0.0,0.0,335.3536254659452,47.49189696042053,269.28,3.0,3.2604945370902816,0.0,0.0,323.0323914975108
2.0,Platform_L18_C5_Wait,L18,PaperImprovedAStar,OurSinglePath,Escalator_L18_down4,Stair_L18_2,L18_C5_Wait -> Escalator_L18_down4 -> L18_S2 -> VN_L18_Exit17_Entrance -> Stair_L18_Exit17 -> L18_17,L18_C5_Wait -> Stair_L18_2 -> L18_S1 -> VN_L18_Exit17_Entrance -> Stair_L18_Exit17 -> L18_17,93.9364115974564,30.240000000000002,0.6171428571428572,2.153259361997226,0.0,0.0,126.94681381659649,97.16770887527441,27.422064,0.54,1.5428571428571431,0.0,0.0,126.67263001813156
2.0,Platform_L18_C6_Wait,L18,PaperImprovedAStar,OurSinglePath,Escalator_L18_down4,Stair_L18_2,L18_C6_Wait -> Escalator_L18_down4 -> L18_S2 -> VN_L18_Exit17_Entrance -> Stair_L18_Exit17 -> L18_17,L18_C6_Wait -> Stair_L18_2 -> L18_S1 -> VN_L18_Exit17_Entrance -> Stair_L18_Exit17 -> L18_17,96.18686409061209,30.240000000000002,0.6171428571428572,2.527739251040222,0.0,0.0,129.57174619879518,99.46720073894595,27.422064,0.54,1.8111801242236025,0.0,0.0,129.24044486316956
2.0,Platform_L7_C3_Wait,L7,PaperImprovedAStar,OurSinglePath,Stair_L7_1,Stair_L7_2,L7_C3_Wait -> Stair_L7_1 -> L7_West_Vert -> VN_L7_Corner_2 -> L7_7,L7_C3_Wait -> Stair_L7_2 -> L7_N_West -> VN_L7_Corner_1 -> L7_8/9,42.68428351430936,256.18982400000004,1.08,2.534850640113798,0.0,0.0,302.4889581544232,47.49189696042053,240.0,3.0,3.0741805635422654,0.0,0.0,293.5660775239628
3.0,Platform_L18_C5_Wait,L18,PaperImprovedAStar,OurSinglePath,Escalator_L18_down4,Stair_L18_2,L18_C5_Wait -> Escalator_L18_down4 -> L18_S2 -> VN_L18_Exit17_Entrance -> Stair_L18_Exit17 -> L18_17,L18_C5_Wait -> Stair_L18_2 -> L18_S2 -> VN_L18_Exit17_Entrance -> Stair_L18_Exit17 -> L18_17,93.9364115974564,20.637257142857145,0.6171428571428572,1.872399445214979,0.0,0.0,117.06321104267138,94.34325302409881,20.637257142857145,0.6171428571428572,1.3416149068322982,0.0,0.0,116.93926793093111
