method_label,metric_key,metric_label,mean,std,min,q1,median,q3,max
ACO,evacuation_time_s,总疏散时间 (s),459.56666666666666,1.7056363628566467,456.5,458.0,460.0,461.0,462.0
ACO,queueing_time_person_s,累计排队时间 (人·秒),53617.46666666667,1123.5948000558938,50590.5,52902.875,53716.0,54443.0,55297.0
ACO,moderate_congestion_exposure_time_person_s,中度拥挤暴露 (density > 3),31072.733333333334,1021.9495376344491,29177.5,30083.75,31149.5,31865.25,32623.5
ACO,severe_congestion_exposure_time_person_s,重度拥挤暴露 (density > 5),24525.633333333335,1201.8570180990844,21959.5,23553.625,24597.75,25552.375,26544.5
ACO,peak_density_p_per_m2,峰值密度 (人/m^2),22.94606256742179,1.3644236444399367,20.476190476190474,21.904761904761905,22.857142857142858,23.80374479889043,26.21359223300971
PaperImprovedAStar,evacuation_time_s,总疏散时间 (s),343.68333333333334,12.27661312761209,317.5,349.5,349.5,349.875,350.5
PaperImprovedAStar,queueing_time_person_s,累计排队时间 (人·秒),49357.88333333333,634.7482080665358,47974.0,48827.25,49423.75,49741.625,50397.5
PaperImprovedAStar,moderate_congestion_exposure_time_person_s,中度拥挤暴露 (density > 3),25937.35,318.25415862602426,25458.0,25675.5,25877.0,26187.125,26507.5
PaperImprovedAStar,severe_congestion_exposure_time_person_s,重度拥挤暴露 (density > 5),18169.65,349.8637210055682,17482.5,17986.0,18187.75,18302.5,19044.0
PaperImprovedAStar,peak_density_p_per_m2,峰值密度 (人/m^2),19.306349206349207,0.46213803012926313,19.0,19.0,19.0,19.523809523809522,20.476190476190474
AdaptiveSingleNextHop,evacuation_time_s,总疏散时间 (s),397.8,55.264349049473736,317.5,320.625,434.75,436.5,439.0
AdaptiveSingleNextHop,queueing_time_person_s,累计排队时间 (人·秒),45342.51666666667,1067.6427344075983,43111.0,44722.375,45228.0,46077.25,47645.5
AdaptiveSingleNextHop,moderate_congestion_exposure_time_person_s,中度拥挤暴露 (density > 3),25562.533333333333,993.2970171946637,23606.5,24939.375,25397.25,26327.25,27334.0
AdaptiveSingleNextHop,severe_congestion_exposure_time_person_s,重度拥挤暴露 (density > 5),17757.5,1138.7774675895441,15556.0,16798.875,17736.25,18549.0,19676.5
AdaptiveSingleNextHop,peak_density_p_per_m2,峰值密度 (人/m^2),20.28847926267281,1.1370470058554516,19.0,19.166666666666664,20.43010752688172,20.963901689708138,23.118279569892472
