method_label,source_group,line,source_type,source_zone,configured_people,evacuated_people,exit_name,people,share_within_group
OurSinglePath,L16_platform::Platform_L16_A_C1_Wait,L16,platform_waiting,Platform_L16_A_C1_Wait,4.0,4.0,Exit_L16_10,4.0,1.0
OurSinglePath,L16_platform::Platform_L16_A_C2_Wait,L16,platform_waiting,Platform_L16_A_C2_Wait,4.0,4.0,Exit_L16_10,4.0,1.0
OurSinglePath,L16_platform::Platform_L16_A_C3_Wait,L16,platform_waiting,Platform_L16_A_C3_Wait,4.0,4.0,Exit_L16_10,4.0,1.0
OurSinglePath,L16_platform::Platform_L16_A_C4_Wait,L16,platform_waiting,Platform_L16_A_C4_Wait,4.0,4.0,Exit_L16_10,4.0,1.0
OurSinglePath,L16_platform::Platform_L16_A_C5_Wait,L16,platform_waiting,Platform_L16_A_C5_Wait,4.0,4.0,Exit_L16_10,4.0,1.0
OurSinglePath,L16_platform::Platform_L16_A_C6_Wait,L16,platform_waiting,Platform_L16_A_C6_Wait,3.0,3.0,Exit_L16_10,3.0,1.0
OurSinglePath,L16_platform::Platform_L16_B_C1_Wait,L16,platform_waiting,Platform_L16_B_C1_Wait,3.0,3.0,Exit_L16_11,3.0,1.0
OurSinglePath,L16_platform::Platform_L16_B_C2_Wait,L16,platform_waiting,Platform_L16_B_C2_Wait,3.0,3.0,Exit_L16_11,3.0,1.0
OurSinglePath,L16_platform::Platform_L16_B_C3_Wait,L16,platform_waiting,Platform_L16_B_C3_Wait,3.0,3.0,Exit_L16_11,3.0,1.0
OurSinglePath,L16_platform::Platform_L16_B_C4_Wait,L16,platform_waiting,Platform_L16_B_C4_Wait,3.0,3.0,Exit_L16_10,3.0,1.0
OurSinglePath,L16_platform::Platform_L16_B_C5_Wait,L16,platform_waiting,Platform_L16_B_C5_Wait,4.0,4.0,Exit_L16_10,4.0,1.0
OurSinglePath,L16_platform::Platform_L16_B_C6_Wait,L16,platform_waiting,Platform_L16_B_C6_Wait,3.0,3.0,Exit_L16_10,3.0,1.0
OurSinglePath,L16_hall,L16,hall_people,,15.0,15.0,Exit_L16_10,10.0,0.6666666666666666
OurSinglePath,L16_hall,L16,hall_people,,15.0,15.0,Exit_L16_11,5.0,0.3333333333333333
OurSinglePath,L16_transfer,L16,transfer_people,,27.0,27.0,Exit_L16_10,10.0,0.37037037037037035
OurSinglePath,L16_transfer,L16,transfer_people,,27.0,27.0,Exit_L16_11,4.0,0.14814814814814814
OurSinglePath,L16_transfer,L16,transfer_people,,27.0,27.0,Exit_L18_17,3.0,0.1111111111111111
OurSinglePath,L16_transfer,L16,transfer_people,,27.0,27.0,Exit_L2_6,10.0,0.37037037037037035
OurSinglePath,L18_platform::Platform_L18_C1_Wait,L18,platform_waiting,Platform_L18_C1_Wait,29.0,29.0,Exit_L18_12,29.0,1.0
OurSinglePath,L18_platform::Platform_L18_C2_Wait,L18,platform_waiting,Platform_L18_C2_Wait,32.0,32.0,Exit_L18_12,32.0,1.0
OurSinglePath,L18_platform::Platform_L18_C3_Wait,L18,platform_waiting,Platform_L18_C3_Wait,29.0,29.0,Exit_L18_12,29.0,1.0
OurSinglePath,L18_platform::Platform_L18_C4_Wait,L18,platform_waiting,Platform_L18_C4_Wait,28.0,28.0,Exit_L18_12,28.0,1.0
OurSinglePath,L18_platform::Platform_L18_C5_Wait,L18,platform_waiting,Platform_L18_C5_Wait,28.0,28.0,Exit_L18_12,16.0,0.5714285714285714
OurSinglePath,L18_platform::Platform_L18_C5_Wait,L18,platform_waiting,Platform_L18_C5_Wait,28.0,28.0,Exit_L18_17,12.0,0.42857142857142855
OurSinglePath,L18_platform::Platform_L18_C6_Wait,L18,platform_waiting,Platform_L18_C6_Wait,32.0,32.0,Exit_L18_12,28.0,0.875
OurSinglePath,L18_platform::Platform_L18_C6_Wait,L18,platform_waiting,Platform_L18_C6_Wait,32.0,32.0,Exit_L18_17,4.0,0.125
OurSinglePath,L18_hall,L18,hall_people,,125.0,125.0,Exit_L18_12,53.0,0.424
OurSinglePath,L18_hall,L18,hall_people,,125.0,125.0,Exit_L18_17,72.0,0.576
OurSinglePath,L18_transfer,L18,transfer_people,,188.0,188.0,Exit_L16_10,78.0,0.4148936170212766
OurSinglePath,L18_transfer,L18,transfer_people,,188.0,188.0,Exit_L18_12,65.0,0.34574468085106386
OurSinglePath,L18_transfer,L18,transfer_people,,188.0,188.0,Exit_L18_17,45.0,0.2393617021276596
OurSinglePath,L2_platform::Platform_L2_Z1_Wait,L2,platform_waiting,Platform_L2_Z1_Wait,50.0,50.0,Exit_L16_10,11.0,0.22
OurSinglePath,L2_platform::Platform_L2_Z1_Wait,L2,platform_waiting,Platform_L2_Z1_Wait,50.0,50.0,Exit_L2_2,39.0,0.78
OurSinglePath,L2_platform::Platform_L2_Z2_Wait,L2,platform_waiting,Platform_L2_Z2_Wait,69.0,69.0,Exit_L2_2,20.0,0.2898550724637681
OurSinglePath,L2_platform::Platform_L2_Z2_Wait,L2,platform_waiting,Platform_L2_Z2_Wait,69.0,69.0,Exit_L2_4,49.0,0.7101449275362319
OurSinglePath,L2_platform::Platform_L2_Z3_Wait,L2,platform_waiting,Platform_L2_Z3_Wait,71.0,71.0,Exit_L16_11,15.0,0.2112676056338028
OurSinglePath,L2_platform::Platform_L2_Z3_Wait,L2,platform_waiting,Platform_L2_Z3_Wait,71.0,71.0,Exit_L2_3,39.0,0.5492957746478874
OurSinglePath,L2_platform::Platform_L2_Z3_Wait,L2,platform_waiting,Platform_L2_Z3_Wait,71.0,71.0,Exit_L2_4,17.0,0.23943661971830985
OurSinglePath,L2_platform::Platform_L2_Z4_Wait,L2,platform_waiting,Platform_L2_Z4_Wait,46.0,46.0,Exit_L16_11,12.0,0.2608695652173913
OurSinglePath,L2_platform::Platform_L2_Z4_Wait,L2,platform_waiting,Platform_L2_Z4_Wait,46.0,46.0,Exit_L2_3,34.0,0.7391304347826086
OurSinglePath,L2_hall,L2,hall_people,,350.0,350.0,Exit_L2_2,74.0,0.21142857142857144
OurSinglePath,L2_hall,L2,hall_people,,350.0,350.0,Exit_L2_3,92.0,0.26285714285714284
OurSinglePath,L2_hall,L2,hall_people,,350.0,350.0,Exit_L2_4,129.0,0.36857142857142855
OurSinglePath,L2_hall,L2,hall_people,,350.0,350.0,Exit_L2_6,55.0,0.15714285714285714
OurSinglePath,L2_transfer,L2,transfer_people,,526.0,526.0,Exit_L16_11,80.0,0.1520912547528517
OurSinglePath,L2_transfer,L2,transfer_people,,526.0,526.0,Exit_L18_12,9.0,0.017110266159695818
OurSinglePath,L2_transfer,L2,transfer_people,,526.0,526.0,Exit_L18_17,74.0,0.14068441064638784
OurSinglePath,L2_transfer,L2,transfer_people,,526.0,526.0,Exit_L2_2,161.0,0.3060836501901141
OurSinglePath,L2_transfer,L2,transfer_people,,526.0,526.0,Exit_L2_6,88.0,0.16730038022813687
OurSinglePath,L2_transfer,L2,transfer_people,,526.0,526.0,Exit_L7_7,58.0,0.11026615969581749
OurSinglePath,L2_transfer,L2,transfer_people,,526.0,526.0,Exit_L7_8/9,56.0,0.10646387832699619
OurSinglePath,L7_platform::Platform_L7_C1_Wait,L7,platform_waiting,Platform_L7_C1_Wait,33.0,33.0,Exit_L7_7,14.0,0.42424242424242425
OurSinglePath,L7_platform::Platform_L7_C1_Wait,L7,platform_waiting,Platform_L7_C1_Wait,33.0,33.0,Exit_L7_8/9,19.0,0.5757575757575758
OurSinglePath,L7_platform::Platform_L7_C2_Wait,L7,platform_waiting,Platform_L7_C2_Wait,46.0,46.0,Exit_L7_7,27.0,0.5869565217391305
OurSinglePath,L7_platform::Platform_L7_C2_Wait,L7,platform_waiting,Platform_L7_C2_Wait,46.0,46.0,Exit_L7_8/9,19.0,0.41304347826086957
OurSinglePath,L7_platform::Platform_L7_C3_Wait,L7,platform_waiting,Platform_L7_C3_Wait,36.0,36.0,Exit_L7_7,18.0,0.5
OurSinglePath,L7_platform::Platform_L7_C3_Wait,L7,platform_waiting,Platform_L7_C3_Wait,36.0,36.0,Exit_L7_8/9,18.0,0.5
OurSinglePath,L7_platform::Platform_L7_C4_Wait,L7,platform_waiting,Platform_L7_C4_Wait,44.0,44.0,Exit_L7_7,14.0,0.3181818181818182
OurSinglePath,L7_platform::Platform_L7_C4_Wait,L7,platform_waiting,Platform_L7_C4_Wait,44.0,44.0,Exit_L7_8/9,30.0,0.6818181818181818
OurSinglePath,L7_platform::Platform_L7_C5_Wait,L7,platform_waiting,Platform_L7_C5_Wait,37.0,37.0,Exit_L7_7,19.0,0.5135135135135135
OurSinglePath,L7_platform::Platform_L7_C5_Wait,L7,platform_waiting,Platform_L7_C5_Wait,37.0,37.0,Exit_L7_8/9,18.0,0.4864864864864865
OurSinglePath,L7_platform::Platform_L7_C6_Wait,L7,platform_waiting,Platform_L7_C6_Wait,23.0,23.0,Exit_L7_7,11.0,0.4782608695652174
OurSinglePath,L7_platform::Platform_L7_C6_Wait,L7,platform_waiting,Platform_L7_C6_Wait,23.0,23.0,Exit_L7_8/9,12.0,0.5217391304347826
OurSinglePath,L7_hall,L7,hall_people,,112.0,112.0,Exit_L7_7,94.0,0.8392857142857143
OurSinglePath,L7_hall,L7,hall_people,,112.0,112.0,Exit_L7_8/9,18.0,0.16071428571428573
OurSinglePath,L7_transfer,L7,transfer_people,,169.0,169.0,Exit_L2_2,99.0,0.5857988165680473
OurSinglePath,L7_transfer,L7,transfer_people,,169.0,169.0,Exit_L7_7,34.0,0.20118343195266272
OurSinglePath,L7_transfer,L7,transfer_people,,169.0,169.0,Exit_L7_8/9,36.0,0.21301775147928995
