exit_name,pathfinder_target,our_actual,diff,abs_diff
Exit_L18_12,382,245.0,-137.0,137.0
Exit_L18_13,44,0.0,-44.0,44.0
Exit_L18_17,26,221.0,195.0,195.0
Exit_L7_7,394,309.0,-85.0,85.0
Exit_L7_8/9,136,239.0,103.0,103.0
Exit_L2_6,111,193.0,82.0,82.0
Exit_L2_2,216,334.0,118.0,118.0
Exit_L2_3,365,92.0,-273.0,273.0
Exit_L2_4,105,157.0,52.0,52.0
Exit_L16_10,53,190.0,137.0,137.0
Exit_L16_11,354,207.0,-147.0,147.0
Exit_Maglev_18,0,0.0,0.0,0.0
Exit_Maglev_19,0,0.0,0.0,0.0
Exit_Maglev_20,0,0.0,0.0,0.0
Exit_Maglev_21,1,0.0,-1.0,1.0
