scenario_mode,scenario_label,total_people,method,exit,evacuated_people,share
1,mode1_regular_emergency,2187,IACO_GA_2026,Exit_L16_10,199.0,0.09099222679469593
1,mode1_regular_emergency,2187,IACO_GA_2026,Exit_L16_11,172.0,0.07864654778235025
1,mode1_regular_emergency,2187,IACO_GA_2026,Exit_L18_12,327.0,0.149519890260631
1,mode1_regular_emergency,2187,IACO_GA_2026,Exit_L18_17,171.0,0.07818930041152264
1,mode1_regular_emergency,2187,IACO_GA_2026,Exit_L2_2,397.0,0.18152720621856425
1,mode1_regular_emergency,2187,IACO_GA_2026,Exit_L2_3,137.0,0.06264288980338363
1,mode1_regular_emergency,2187,IACO_GA_2026,Exit_L2_4,229.0,0.10470964791952446
1,mode1_regular_emergency,2187,IACO_GA_2026,Exit_L2_6,83.0,0.037951531778692274
1,mode1_regular_emergency,2187,IACO_GA_2026,Exit_L7_7,258.0,0.11796982167352538
1,mode1_regular_emergency,2187,IACO_GA_2026,Exit_L7_8/9,214.0,0.0978509373571102
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Exit_L16_10,1925.0,0.10751186819324211
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Exit_L16_11,1896.0,0.10589220888020107
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Exit_L18_12,1407.0,0.0785814018430606
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Exit_L18_13,1418.0,0.07919575537559341
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Exit_L18_17,1177.0,0.0657358279810109
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Exit_L2_2,1689.0,0.09433119240435632
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Exit_L2_3,1391.0,0.07768779670483106
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Exit_L2_4,1975.0,0.11030438425020944
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Exit_L2_6,780.0,0.04356325048869031
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Exit_L7_7,860.0,0.04803127617983803
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Exit_L7_8/9,1653.0,0.09232058084333986
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Exit_Maglev_18,523.0,0.029209717955878248
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Exit_Maglev_19,491.0,0.027422507679419155
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Exit_Maglev_20,362.0,0.02021781625244345
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Exit_Maglev_21,358.0,0.019994414967886065
