scenario_mode,scenario_label,total_people,method,line,clearance_time,core_clearance_time,transfer_clearance_time,moderate_congestion_exposure_time,severe_congestion_exposure_time
1,mode1_regular_emergency,2187,IACO_GA_2026,L7,516.0,516.0,330.5,1079.5,0.0
1,mode1_regular_emergency,2187,IACO_GA_2026,L2,405.0,405.0,337.5,2739.5,0.0
1,mode1_regular_emergency,2187,IACO_GA_2026,L16,258.5,80.0,258.5,0.0,0.0
1,mode1_regular_emergency,2187,IACO_GA_2026,L18,268.0,207.0,268.0,0.0,0.0
1,mode1_regular_emergency,2187,IACO_GA_2026,Maglev,516.0,,,0.0,0.0
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,L7,811.5,811.5,763.0,151083.0,93262.5
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,L2,897.0,897.0,513.0,343927.0,163305.0
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,L16,888.0,888.0,761.5,28438.0,22304.5
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,L18,706.0,706.0,268.0,156973.0,90935.0
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Maglev,763.5,763.5,,128839.0,109289.0
