scenario_mode,scenario_label,total_people,method,node,queue_person_seconds,peak_people,peak_congestion_index,peak_load_ratio,peak_density
1,mode1_regular_emergency,2187,IACO_GA_2026,VN_2to7_Exit,4169.5,137.0,4.164133738601824,0.0,4.164133738601824
1,mode1_regular_emergency,2187,IACO_GA_2026,Transfer_L2-L7_Passageway,2643.0,217.0,0.9393939393939394,0.0,0.9393939393939394
1,mode1_regular_emergency,2187,IACO_GA_2026,Transfer_L7-L2_Z,2257.5,105.0,0.1146288209606987,0.0,0.1146288209606987
1,mode1_regular_emergency,2187,IACO_GA_2026,Gate_L7_N_West,2217.0,46.0,1.5333333333333334,1.5333333333333334,0.0
1,mode1_regular_emergency,2187,IACO_GA_2026,Gate_L2_S_West,1808.0,129.0,0.8845714285714287,0.8845714285714287,0.0
1,mode1_regular_emergency,2187,IACO_GA_2026,Gate_L2_S_East,1277.5,92.0,0.8832,0.8832,0.0
1,mode1_regular_emergency,2187,IACO_GA_2026,VN_L18_Exit17_Entrance,1276.0,56.0,0.8615384615384616,0.0,0.8615384615384616
1,mode1_regular_emergency,2187,IACO_GA_2026,Gate_L2_N_West,1242.5,74.0,0.888,0.888,0.0
1,mode1_regular_emergency,2187,IACO_GA_2026,Gate_L2_N_East,765.5,55.0,0.8799999999999999,0.8799999999999999,0.0
1,mode1_regular_emergency,2187,IACO_GA_2026,VN_L18_Exit12_Entrance,636.5,31.0,0.7045454545454546,0.0,0.7045454545454546
1,mode1_regular_emergency,2187,IACO_GA_2026,Gate_L7_West_Vert,628.0,51.0,0.612,0.612,0.0
1,mode1_regular_emergency,2187,IACO_GA_2026,Transfer_L2_L18_F1_Esc1,571.5,39.0,0.6761442441054092,0.6761442441054092,0.0
1,mode1_regular_emergency,2187,IACO_GA_2026,Transfer_L2_L18_F1_Esc2,571.0,39.0,0.6761442441054092,0.6761442441054092,0.0
1,mode1_regular_emergency,2187,IACO_GA_2026,Transfer_L2_L18_F1_Esc3,571.0,39.0,0.6761442441054092,0.6761442441054092,0.0
1,mode1_regular_emergency,2187,IACO_GA_2026,Stair_L18_2,466.0,35.0,0.43478260869565216,0.43478260869565216,0.0
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,VN_L2_to_L16_Entrance,154782.0,666.0,13.32,0.0,13.32
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Transfer_L7-L2_Z,71154.5,475.0,0.5185589519650655,0.0,0.5185589519650655
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,VN_L18_Exit17_Entrance,69452.0,530.0,8.153846153846153,0.0,8.153846153846153
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Stair_Maglev_6,68988.5,383.0,8.417582417582418,8.417582417582418,0.0
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,VN_L18_Exit12_Entrance,63206.5,461.0,10.477272727272727,0.0,10.477272727272727
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Gate_L2_S_East,59887.5,481.0,4.6175999999999995,4.6175999999999995,0.0
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Gate_L7_N_West,37812.0,188.0,6.266666666666667,6.266666666666667,0.0
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Gate_L7_West_Vert,34182.5,264.0,3.168,3.168,0.0
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Gate_L2_S_West,33683.5,267.0,1.8308571428571432,1.8308571428571432,0.0
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Gate_L2_N_West,29213.5,166.0,1.9920000000000002,1.9920000000000002,0.0
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Stair_L18_2,21234.0,253.0,3.142857142857143,3.142857142857143,0.0
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Gate_L7_N_Mid,20161.5,132.0,4.4,4.4,0.0
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Gate_L7_N_East,19929.0,190.0,4.5600000000000005,4.5600000000000005,0.0
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Escalator_Maglev_up2,19077.5,168.0,4.926686217008798,4.926686217008798,0.0
4,mode4_bidirectional_full_train,17905,IACO_GA_2026,Gate_L2_N_East,16479.0,153.0,2.4479999999999995,2.4479999999999995,0.0
