scenario_mode,scenario_label,total_people,method,exit,evacuated_people,share
1,mode1_regular_emergency,2187,SUE_LogitEquilibrium,Exit_L16_10,252.0,0.11522633744855967
1,mode1_regular_emergency,2187,SUE_LogitEquilibrium,Exit_L16_11,145.0,0.06630086877000457
1,mode1_regular_emergency,2187,SUE_LogitEquilibrium,Exit_L18_12,278.0,0.12711476909007774
1,mode1_regular_emergency,2187,SUE_LogitEquilibrium,Exit_L18_17,188.0,0.08596250571559214
1,mode1_regular_emergency,2187,SUE_LogitEquilibrium,Exit_L2_2,318.0,0.14540466392318244
1,mode1_regular_emergency,2187,SUE_LogitEquilibrium,Exit_L2_3,144.0,0.06584362139917696
1,mode1_regular_emergency,2187,SUE_LogitEquilibrium,Exit_L2_4,244.0,0.11156835848193873
1,mode1_regular_emergency,2187,SUE_LogitEquilibrium,Exit_L2_6,70.0,0.03200731595793324
1,mode1_regular_emergency,2187,SUE_LogitEquilibrium,Exit_L7_7,200.0,0.09144947416552354
1,mode1_regular_emergency,2187,SUE_LogitEquilibrium,Exit_L7_8/9,348.0,0.15912208504801098
1,mode1_regular_emergency,2187,NSGAII_MultiObjective,Exit_L16_10,350.0,0.1600365797896662
1,mode1_regular_emergency,2187,NSGAII_MultiObjective,Exit_L16_11,185.0,0.08459076360310928
1,mode1_regular_emergency,2187,NSGAII_MultiObjective,Exit_L18_12,141.0,0.0644718792866941
1,mode1_regular_emergency,2187,NSGAII_MultiObjective,Exit_L18_13,109.0,0.04983996342021033
1,mode1_regular_emergency,2187,NSGAII_MultiObjective,Exit_L18_17,194.0,0.08870598994055784
1,mode1_regular_emergency,2187,NSGAII_MultiObjective,Exit_L2_2,119.0,0.054412437128486514
1,mode1_regular_emergency,2187,NSGAII_MultiObjective,Exit_L2_3,156.0,0.07133058984910837
1,mode1_regular_emergency,2187,NSGAII_MultiObjective,Exit_L2_4,325.0,0.14860539551897575
1,mode1_regular_emergency,2187,NSGAII_MultiObjective,Exit_L2_6,69.0,0.03155006858710562
1,mode1_regular_emergency,2187,NSGAII_MultiObjective,Exit_L7_7,165.0,0.07544581618655692
1,mode1_regular_emergency,2187,NSGAII_MultiObjective,Exit_L7_8/9,374.0,0.17101051668952905
1,mode1_regular_emergency,2187,DynamicSign_FlowEquilibrium,Exit_L16_10,231.0,0.1056241426611797
1,mode1_regular_emergency,2187,DynamicSign_FlowEquilibrium,Exit_L16_11,166.0,0.07590306355738455
1,mode1_regular_emergency,2187,DynamicSign_FlowEquilibrium,Exit_L18_12,306.0,0.13991769547325103
1,mode1_regular_emergency,2187,DynamicSign_FlowEquilibrium,Exit_L18_17,160.0,0.07315957933241884
1,mode1_regular_emergency,2187,DynamicSign_FlowEquilibrium,Exit_L2_2,362.0,0.1655235482395976
1,mode1_regular_emergency,2187,DynamicSign_FlowEquilibrium,Exit_L2_3,209.0,0.09556470050297211
1,mode1_regular_emergency,2187,DynamicSign_FlowEquilibrium,Exit_L2_4,129.0,0.05898491083676269
1,mode1_regular_emergency,2187,DynamicSign_FlowEquilibrium,Exit_L2_6,76.0,0.03475080018289895
1,mode1_regular_emergency,2187,DynamicSign_FlowEquilibrium,Exit_L7_7,426.0,0.19478737997256515
1,mode1_regular_emergency,2187,DynamicSign_FlowEquilibrium,Exit_L7_8/9,122.0,0.055784179240969366
