scenario_mode,scenario_label,total_people,method,line,clearance_time,core_clearance_time,transfer_clearance_time,moderate_congestion_exposure_time,severe_congestion_exposure_time
1,mode1_regular_emergency,2187,ACO,L7,458.5,197.5,458.5,2224.0,0.0
1,mode1_regular_emergency,2187,ACO,L2,541.5,152.5,541.5,6015.0,0.0
1,mode1_regular_emergency,2187,ACO,L16,512.5,90.5,512.5,0.0,0.0
1,mode1_regular_emergency,2187,ACO,L18,511.5,511.5,268.0,0.0,0.0
1,mode1_regular_emergency,2187,ACO,Maglev,541.5,,,0.0,0.0
1,mode1_regular_emergency,2187,ImprovedAStar,L7,321.0,192.0,321.0,6209.5,0.0
1,mode1_regular_emergency,2187,ImprovedAStar,L2,312.0,152.5,312.0,5625.5,0.0
1,mode1_regular_emergency,2187,ImprovedAStar,L16,312.5,80.0,312.5,0.0,0.0
1,mode1_regular_emergency,2187,ImprovedAStar,L18,311.5,311.5,268.0,0.0,0.0
1,mode1_regular_emergency,2187,ImprovedAStar,Maglev,321.0,,,0.0,0.0
1,mode1_regular_emergency,2187,AdaptiveSingleNextHop,L7,321.0,144.0,321.0,0.0,0.0
1,mode1_regular_emergency,2187,AdaptiveSingleNextHop,L2,294.5,172.5,294.5,3836.0,0.0
1,mode1_regular_emergency,2187,AdaptiveSingleNextHop,L16,293.5,80.5,293.5,0.0,0.0
1,mode1_regular_emergency,2187,AdaptiveSingleNextHop,L18,268.0,212.5,268.0,0.0,0.0
1,mode1_regular_emergency,2187,AdaptiveSingleNextHop,Maglev,321.0,,,0.0,0.0
4,mode4_bidirectional_full_train,17905,ACO,L7,1212.0,1212.0,558.5,1428126.5,1244872.5
4,mode4_bidirectional_full_train,17905,ACO,L2,2262.5,2262.5,2119.0,2111638.0,1836369.0
4,mode4_bidirectional_full_train,17905,ACO,L16,2120.0,473.0,2120.0,167653.0,140644.5
4,mode4_bidirectional_full_train,17905,ACO,L18,2119.5,2119.5,269.5,1658917.0,1386887.5
4,mode4_bidirectional_full_train,17905,ACO,Maglev,820.5,820.5,,311577.0,299453.0
4,mode4_bidirectional_full_train,17905,ImprovedAStar,L7,887.0,887.0,717.5,701873.5,518661.5
4,mode4_bidirectional_full_train,17905,ImprovedAStar,L2,859.5,732.5,859.5,485143.5,173657.5
4,mode4_bidirectional_full_train,17905,ImprovedAStar,L16,861.0,596.0,861.0,127502.5,81261.5
4,mode4_bidirectional_full_train,17905,ImprovedAStar,L18,862.5,862.5,723.5,565051.5,329111.0
4,mode4_bidirectional_full_train,17905,ImprovedAStar,Maglev,721.0,721.0,,144794.0,77531.0
4,mode4_bidirectional_full_train,17905,AdaptiveSingleNextHop,L7,694.0,694.0,498.5,581409.5,363677.5
4,mode4_bidirectional_full_train,17905,AdaptiveSingleNextHop,L2,811.0,811.0,669.0,300680.0,64393.0
4,mode4_bidirectional_full_train,17905,AdaptiveSingleNextHop,L16,572.0,327.0,572.0,61932.0,27689.0
4,mode4_bidirectional_full_train,17905,AdaptiveSingleNextHop,L18,844.5,844.5,267.5,289862.5,86937.0
4,mode4_bidirectional_full_train,17905,AdaptiveSingleNextHop,Maglev,491.0,491.0,,84521.5,52757.0
