method,node,avg_occupancy,peak_density,queue_seconds
ACO,Escalator_L2_down1,148.8832317013004,308.57142857142856,377218.0
ACO,Stair_L7_3,1.9028314372418207,19.758064516129032,11387.0
ACO,Stair_L7_2,5.311764290941797,40.42553191489362,24096.5
ACO,Escalator_L7_up1,23.030716236871076,158.6021505376344,51683.0
ACO,Stair_Maglev_6,22.190857215722524,138.07692307692307,69610.5
ACO,Stair_L7_1,0.027809889414792635,0.4385964912280702,153.0
ACO,Escalator_L18_down1,0.12231480773641136,0.970873786407767,304.0
ACO,Stair_L2_1,0.5481937502837243,5.477031802120141,3743.5
ImprovedAStar,Escalator_L2_down1,1.958448244162526,20.476190476190474,2663.0
ImprovedAStar,Stair_L7_3,17.348517872711415,71.5725806451613,55716.5
ImprovedAStar,Stair_L7_2,7.97276760042718,48.93617021276596,19410.5
ImprovedAStar,Escalator_L7_up1,17.558849171752396,101.07526881720429,21147.0
ImprovedAStar,Stair_Maglev_6,3.107217107217108,35.76923076923077,5231.0
ImprovedAStar,Stair_L7_1,13.75533428165007,65.35087719298247,40614.0
ImprovedAStar,Escalator_L18_down1,34.5458634779023,154.36893203883494,46079.0
ImprovedAStar,Stair_L2_1,6.243775325047409,29.328621908127207,22882.5
AdaptiveSingleNextHop,Escalator_L2_down1,3.769156574857997,20.0,5275.5
AdaptiveSingleNextHop,Stair_L7_3,18.910019843670604,76.20967741935483,62513.5
AdaptiveSingleNextHop,Stair_L7_2,15.392212414805833,76.06382978723404,38573.5
AdaptiveSingleNextHop,Escalator_L7_up1,4.766514209197461,49.46236559139785,5909.0
AdaptiveSingleNextHop,Stair_Maglev_6,0.9230192163425464,15.769230769230768,1599.5
AdaptiveSingleNextHop,Stair_L7_1,2.9267185217356957,32.01754385964912,8895.0
AdaptiveSingleNextHop,Escalator_L18_down1,0.15804922104312458,1.4563106796116505,217.0
AdaptiveSingleNextHop,Stair_L2_1,4.752292313361027,32.685512367491164,17927.5
