node,hit_count,avg_people,avg_density,first_time,last_time
Escalator_L18_up1,7750,153.3741935483871,74.45349201378015,220.0,435.5
Platform_L7,4572,0.0,0.0,601.0,1189.0
Escalator_L18_down1,4107,273.71950328707084,132.87354528498585,114.5,219.5
VN_L18_Exit17_Entrance,1333,133.55888972243062,2.054752149575856,436.0,597.0
Stair_L7_1,907,225.79272326350608,49.515948084102206,55.5,103.5
Escalator_L7_up1,302,143.6953642384106,77.25557217118849,104.0,114.0
Stair_L18_Exit17,216,1.0,0.29411764705882354,587.0,617.5
Stair_Maglev_6,208,50.28365384615385,19.339866863905325,44.5,55.0
Transfer_L2_L18_F1_Esc1,207,23.893719806763286,11.598893110079263,2.0,23.0
VN_2to7_Exit,152,145.98684210526315,4.437290033594625,24.5,36.5
Stair_Maglev_1,105,22.666666666666668,8.717948717948717,37.0,44.0
Transfer_L2_L16_Esc1,27,37.25925925925926,18.62962962962963,0.0,1.5
Gate_L2_N_West,20,1.0,0.125,609.0,624.5
Train_L2_1_Car1,8,255.5,3.617955253469272,23.5,24.0
