node,hit_count,avg_people,avg_density,first_time,last_time
Platform_L7,5320,0.0,0.0,489.5,1189.0
Stair_L7_3,5267,164.79438010252517,33.22467340776716,56.5,420.5
Escalator_L18_down4,3905,176.82099871959028,85.83543627164576,189.0,276.5
Stair_L7_2,1363,264.5818048422597,70.36750128783504,151.5,188.5
Escalator_L7_up1,1099,70.51319381255686,37.91031925406283,62.5,115.5
Stair_Maglev_3,724,125.62569060773481,48.317573310667235,116.0,151.0
Escalator_L18_Exit12_up1,516,9.924418604651162,4.817678934296681,421.0,526.0
Escalator_L7_down1,445,70.69887640449438,38.01014860456687,117.5,133.0
Stair_Maglev_6,400,31.72,12.2,32.5,56.0
Escalator_L18_Exit12_up2,340,9.947058823529412,4.828669331810394,443.5,477.5
Transfer_L2_L18_F1_Esc1,207,23.893719806763286,11.598893110079263,2.0,23.0
Stair_L18_Exit12,156,1.0,0.29411764705882354,480.5,502.5
VN_2to7_Exit,97,149.1443298969072,4.5332623068968765,23.5,32.0
VN_L18_Exit12_Entrance,28,12.714285714285714,0.2889610389610389,478.0,485.5
Transfer_L2_L16_Esc1,27,37.25925925925926,18.62962962962963,0.0,1.5
Escalator_L16_down1,20,31.5,16.93548387096774,61.5,62.0
