scenario_mode,scenario_label,method,line,clearance_time,congestion_exposure_time
4,mode4_bidirectional_full_train,ACO,L7,1206.5,1454178.0
4,mode4_bidirectional_full_train,ACO,L2,2261.5,1972980.5
4,mode4_bidirectional_full_train,ACO,L16,1941.5,196240.0
4,mode4_bidirectional_full_train,ACO,L18,1941.0,1730094.5
4,mode4_bidirectional_full_train,ACO,Maglev,820.5,329668.0
4,mode4_bidirectional_full_train,ImprovedAStar,L7,853.5,557193.0
4,mode4_bidirectional_full_train,ImprovedAStar,L2,806.5,360382.0
4,mode4_bidirectional_full_train,ImprovedAStar,L16,808.5,94822.5
4,mode4_bidirectional_full_train,ImprovedAStar,L18,809.0,470202.5
4,mode4_bidirectional_full_train,ImprovedAStar,Maglev,440.5,119890.0
4,mode4_bidirectional_full_train,AdaptiveSingleNextHop,L7,979.5,480653.5
4,mode4_bidirectional_full_train,AdaptiveSingleNextHop,L2,736.5,349885.5
4,mode4_bidirectional_full_train,AdaptiveSingleNextHop,L16,707.0,58760.0
4,mode4_bidirectional_full_train,AdaptiveSingleNextHop,L18,724.0,380938.0
4,mode4_bidirectional_full_train,AdaptiveSingleNextHop,Maglev,581.0,127503.5
