scenario_mode,scenario_label,method,line,clearance_time,congestion_exposure_time
1,mode1_regular_emergency,ACO,L7,458.5,
1,mode1_regular_emergency,ACO,L2,357.5,
1,mode1_regular_emergency,ACO,L16,357.0,
1,mode1_regular_emergency,ACO,L18,356.5,
1,mode1_regular_emergency,ImprovedAStar,L7,319.5,
1,mode1_regular_emergency,ImprovedAStar,L2,350.0,
1,mode1_regular_emergency,ImprovedAStar,L16,309.0,
1,mode1_regular_emergency,ImprovedAStar,L18,308.0,
1,mode1_regular_emergency,AdaptiveSingleNextHop,L7,319.5,
1,mode1_regular_emergency,AdaptiveSingleNextHop,L2,314.5,
1,mode1_regular_emergency,AdaptiveSingleNextHop,L16,275.5,
1,mode1_regular_emergency,AdaptiveSingleNextHop,L18,276.0,
2,mode2_upbound_full_train,ACO,L7,699.5,449209.5
2,mode2_upbound_full_train,ACO,L2,1206.5,656583.5
2,mode2_upbound_full_train,ACO,L16,1149.5,154928.0
2,mode2_upbound_full_train,ACO,L18,1149.0,478681.5
2,mode2_upbound_full_train,ACO,Maglev,441.5,92010.0
2,mode2_upbound_full_train,ImprovedAStar,L7,647.5,212085.5
2,mode2_upbound_full_train,ImprovedAStar,L2,644.0,193045.5
2,mode2_upbound_full_train,ImprovedAStar,L16,646.0,46435.5
2,mode2_upbound_full_train,ImprovedAStar,L18,647.0,202666.5
2,mode2_upbound_full_train,ImprovedAStar,Maglev,325.5,39198.5
2,mode2_upbound_full_train,AdaptiveSingleNextHop,L7,666.5,188175.0
2,mode2_upbound_full_train,AdaptiveSingleNextHop,L2,569.0,181902.5
2,mode2_upbound_full_train,AdaptiveSingleNextHop,L16,495.0,28584.0
2,mode2_upbound_full_train,AdaptiveSingleNextHop,L18,570.0,191371.0
2,mode2_upbound_full_train,AdaptiveSingleNextHop,Maglev,374.5,47548.0
3,mode3_downbound_full_train,ACO,L7,699.5,449209.5
3,mode3_downbound_full_train,ACO,L2,1206.5,656583.5
3,mode3_downbound_full_train,ACO,L16,1149.5,41683.5
3,mode3_downbound_full_train,ACO,L18,1149.0,478681.5
3,mode3_downbound_full_train,ACO,Maglev,441.5,92296.5
3,mode3_downbound_full_train,ImprovedAStar,L7,645.0,213308.0
3,mode3_downbound_full_train,ImprovedAStar,L2,620.5,202027.0
3,mode3_downbound_full_train,ImprovedAStar,L16,619.5,46950.0
3,mode3_downbound_full_train,ImprovedAStar,L18,621.5,221682.5
3,mode3_downbound_full_train,ImprovedAStar,Maglev,282.0,25751.0
3,mode3_downbound_full_train,AdaptiveSingleNextHop,L7,666.5,188156.0
3,mode3_downbound_full_train,AdaptiveSingleNextHop,L2,569.0,181829.0
3,mode3_downbound_full_train,AdaptiveSingleNextHop,L16,495.0,24222.5
3,mode3_downbound_full_train,AdaptiveSingleNextHop,L18,570.0,191371.0
3,mode3_downbound_full_train,AdaptiveSingleNextHop,Maglev,305.5,26977.5
4,mode4_bidirectional_full_train,ACO,L7,1206.5,1454178.0
4,mode4_bidirectional_full_train,ACO,L2,2261.5,1972980.5
4,mode4_bidirectional_full_train,ACO,L16,1941.5,196240.0
4,mode4_bidirectional_full_train,ACO,L18,1941.0,1730094.5
4,mode4_bidirectional_full_train,ACO,Maglev,820.5,329668.0
4,mode4_bidirectional_full_train,ImprovedAStar,L7,853.5,557193.0
4,mode4_bidirectional_full_train,ImprovedAStar,L2,806.5,360382.0
4,mode4_bidirectional_full_train,ImprovedAStar,L16,808.5,94822.5
4,mode4_bidirectional_full_train,ImprovedAStar,L18,809.0,470202.5
4,mode4_bidirectional_full_train,ImprovedAStar,Maglev,440.5,119890.0
4,mode4_bidirectional_full_train,AdaptiveSingleNextHop,L7,979.5,480653.5
4,mode4_bidirectional_full_train,AdaptiveSingleNextHop,L2,736.5,349885.5
4,mode4_bidirectional_full_train,AdaptiveSingleNextHop,L16,707.0,58760.0
4,mode4_bidirectional_full_train,AdaptiveSingleNextHop,L18,724.0,380938.0
4,mode4_bidirectional_full_train,AdaptiveSingleNextHop,Maglev,581.0,127503.5
